"id";"clave";"nombre"
1;"AGU";"Aguascalientes"
2;"BCN";"Baja California"
3;"BCS";"Baja California Sur"
4;"CAM";"Campeche"
5;"CHP";"Chiapas"
6;"CHH";"Chihuahua"
7;"COA";"Coahuila"
8;"COL";"Colima"
9;"DIF";"Ciudad de México"
10;"DUR";"Durango"
11;"GUA";"Guanajuato"
12;"GRO";"Guerrero"
13;"HID";"Hidalgo"
14;"JAL";"Jalisco"
15;"MEX";"Estado de México"
16;"MIC";"Michoacán"
17;"MOR";"Morelos"
18;"NAY";"Nayarit"
19;"NLE";"Nuevo León"
20;"OAX";"Oaxaca"
21;"PUE";"Puebla"
22;"QUE";"Querétaro"
23;"ROO";"Quintana Roo"
24;"SLP";"San Luis Potosí"
25;"SIN";"Sinaloa"
26;"SON";"Sonora"
27;"TAB";"Tabasco"
28;"TAM";"Tamaulipas"
29;"TLA";"Tlaxcala"
30;"VER";"Veracruz"
31;"YUC";"Yucatán"
32;"ZAC";"Zacatecas"
